,date,updated_at,price
555,25 Feb 2021,Closing,1042.5
556,25 Feb 2021,Midday,1040.0
557,24 Feb 2021,Closing,1020.0
558,24 Feb 2021,Midday,1032.5
559,23 Feb 2021,Closing,1030.0
560,23 Feb 2021,Midday,1027.5
561,22 Feb 2021,Closing,1020.0
562,22 Feb 2021,Midday,1030.0
563,19 Feb 2021,Closing,1015.0
564,19 Feb 2021,Midday,1025.0
565,18 Feb 2021,Closing,1020.0
566,18 Feb 2021,Midday,1042.5
567,17 Feb 2021,Closing,1055.0
568,17 Feb 2021,Midday,1055.0
569,16 Feb 2021,Closing,1050.0
570,16 Feb 2021,Midday,1060.0
571,15 Feb 2021,Closing,1055.0
572,15 Feb 2021,Midday,1035.0
573,11 Feb 2021,Midday,1015.0
574,10 Feb 2021,Closing,1035.0
575,5 Feb 2021,Midday,1005.0
576,4 Feb 2021,Closing,1000.0
577,4 Feb 2021,Midday,980.0
578,3 Feb 2021,Closing,965.0
579,3 Feb 2021,Midday,990.0
580,2 Feb 2021,Closing,1000.0
581,2 Feb 2021,Midday,1020.0
582,27 Jan 2021,Closing,970.0
583,27 Jan 2021,Midday,960.0
584,26 Jan 2021,Closing,927.5
585,26 Jan 2021,Midday,940.0
586,25 Jan 2021,Closing,940.0
587,25 Jan 2021,Midday,940.0
588,22 Jan 2021,Closing,950.0
589,22 Jan 2021,Midday,940.0
590,21 Jan 2021,Closing,945.0
591,21 Jan 2021,Midday,945.0
592,20 Jan 2021,Closing,935.0
593,20 Jan 2021,Midday,930.0
594,19 Jan 2021,Closing,955.0
595,19 Jan 2021,Midday,950.0
596,18 Jan 2021,Closing,980.0
597,18 Jan 2021,Midday,975.0
598,15 Jan 2021,Closing,975.0
599,15 Jan 2021,Midday,995.0
600,14 Jan 2021,Closing,1000.0
601,14 Jan 2021,Midday,1022.5
602,13 Jan 2021,Closing,1030.0
603,13 Jan 2021,Midday,1032.5
604,12 Jan 2021,Closing,1032.5
605,12 Jan 2021,Midday,1017.5
606,11 Jan 2021,Closing,1032.5
607,7 Jan 2021,Midday,1045.0
608,6 Jan 2021,Closing,1050.0
609,6 Jan 2021,Midday,1030.0
610,5 Jan 2021,Closing,1030.0
611,5 Jan 2021,Midday,1010.0
612,4 Jan 2021,Closing,1032.5
613,4 Jan 2021,Midday,1025.0
614,31 Dec 2020,Closing,995.0
615,31 Dec 2020,Midday,990.0
616,30 Dec 2020,Closing,992.5
617,30 Dec 2020,Midday,987.5
618,29 Dec 2020,Closing,975.0
619,29 Dec 2020,Midday,970.0
620,28 Dec 2020,Closing,982.5
621,28 Dec 2020,Midday,987.5
622,24 Dec 2020,Closing,990.0
623,24 Dec 2020,Midday,980.0
624,23 Dec 2020,Closing,965.0
625,22 Dec 2020,Midday,930.0
626,21 Dec 2020,Closing,920.0
627,21 Dec 2020,Midday,925.0
628,18 Dec 2020,Closing,950.0
629,18 Dec 2020,Midday,950.0
630,17 Dec 2020,Closing,950.0
631,17 Dec 2020,Midday,950.0
632,16 Dec 2020,Closing,950.0
633,16 Dec 2020,Midday,952.5
634,15 Dec 2020,Closing,935.0
635,15 Dec 2020,Midday,937.5
636,14 Dec 2020,Closing,937.5
637,14 Dec 2020,Midday,940.0
638,11 Dec 2020,Closing,932.5
639,11 Dec 2020,Midday,920.0
640,10 Dec 2020,Closing,925.0
641,8 Dec 2020,Closing,920.0
642,8 Dec 2020,Midday,920.0
643,7 Dec 2020,Closing,920.0
644,7 Dec 2020,MIdday,932.5
645,4 Dec 2020,Closing,935.0
646,4 Dec 2020,Midday,900.0
647,3 Dec 2020,Closing,885.0
648,3 Dec 2020,Midday,880.0
649,2 Dec 2020,Closing,877.5
650,2 Dec 2020,Midday,885.0
651,1 Dec 2020,Closing,885.0
652,1 Dec 2020,Midday,870.0
653,30 Nov 2020,Closing,870.0
654,30 Nov 2020,Midday,880.0
655,27 Nov 2020,Closing,885.0
656,27 Nov 2020,Midday,862.5
657,26 Nov 2020,Closing,862.5
658,26 . Nov 2020 ,Midday,870.0
