date,updated_at,price
27 Jul 2021,Closing,1160
27 Jul 2021,Midday,1160
26 Jul 2021,Closing,1145
26 Jul 2021,Midday,1130
23 Jul 2021,Closing,1130
23 Jul 2021,Midday,1120
22 Jul 2021,Closing,1095
22 Jul 2021,Midday,1090
21 Jul 2021,Closing,1100
21 Jul 2021,Midday,1090
19 Jul 2021,Midday,1105
16 Jul 2021,Closing,1100
16 Jul 2021,Midday,1090
15 Jul 2021,Closing,1090
15 Jul 2021,Midday,1080
14 Jul 2021,Closing,1062.5
14 Jul 2021,Midday,1050
13 Jul 2021,Closing,1055
13 Jul 2021,Midday,1040
12 Jul 2021,Closing,1035
12 Jul 2021,Midday,1040
12 Jul 2021,Midday,1040
9 Jul 2021,Closing,1045
9 Jul 2021,Midday,1035
8 Jul 2021,Closing,1025
8 Jul 2021,Midday,1025
7 Jul 2021,Closing,1025
7 Jul 2021,Midday,1030
6 Jul 2021,Closing,1045
6 Jul 2021,Midday,1060
5 Jul 2021,Closing,1042.5
5 Jul 2021,Midday,1040
2 Jul 2021,Closing,1035
2 Jul 2021,Midday,1020
1 Jul 2021,Closing,1010
1 Jul 2021,Midday,1035
30 June 2021,Closing,1005
30 June 2021,Midday,1015
29 June 2021,Closing,1000
29 June 2021,Midday,980
28 June 2021,Closing,995
28 June 2021,Midday,985
25 June 2021,Closing,995
25 June 2021,Midday,975
24 June 2021,Closing,975
24 June 2021,Midday,975
23 June 2021,Closing,975
23 June 2021,Midday,980
22 June 2021,Closing,950
22 June 2021,Midday,970
21 June 2021,Closing,952.5
21 June 2021,Midday,940
18 June 2021,Closing,960
18 June 2021,Midday,930
17 June 2021,Closing,940
17 June 2021,Midday,950
16 June 2021,Closing,950
16 June 2021,Midday,935
15 June 2021,Closing,957.5
15 June 2021,Midday,965
14 June 2021,Closing,955
14 June 2021,Midday,na
11 June 2021,Closing,1005
11 June 2021,Midday,1030
10 June 2021,Closing,1050
10 June 2021,Midday,1050
2 June 2021,Midday,1070
1 June 2021,Closing,1045
1 June 2021,Midday,1060
31 May 2021,Closing,1070
31 May 2021,Midday,1095
28 May 2021,Closing,1115
28 May 2021,Midday,1125
27 May 2021,Midday,1105
25 May 2021,Closing,1130
25 May 2021,Midday,1125
24 May 2021,Closing,1110
24 May 2021,Midday,1130
21 May 2021,Closing,1135
21 May 2021,Midday,1155
20 May 2021,Closing,1155
20 May 2021,Midday,1175
19 May 2021,Midday,1220
19 May 2021,Midday,1225
18 May 2021,Closing,1235
18 May 2021,Midday,1235
17 May 2021,Closing,1225
17 May 2021,Midday,1220
12 May 2021,Midday,1225
11 May 2021,Closing,1220
11 May 2021,Midday,1220
10 May 2021,Closing,1217.5
10 May 2021,Closing,1217.5
10 May 2021,Midday,1220
7 May 2021,Closing,1230
7 May 2021,Midday,1230
6 May 2021,Closing,1195
6 May 2021,Midday,1187.5
5 May 2021,Closing,1162.5
5 May 2021,Midday,1162.5
4 May 2021,Closing,1150
4 May 2021,Midday,1150
3 May 2021,Closing,1165
3 May 2021,Midday,1160
30 Apr 2021,Closing,1125
30 Apr 2021,Midday,1125
22 Apr 2021,Midday,1130
21 Apr 2021,Closing,1110
21 Apr 2021,Midday,1110
20 Apr 2021,Closing,108
20 Apr 2021,Midday,1065
19 Apr 2021,Closing,1060
19 Apr 2021,Midday,1052.5
16 Apr 2021,Closing,1085
16 Apr 2021,Midday,1082.5
15 Apr 2021,Midday,1075
15 Apr 2021,Midday,1075
14 Apr 2021,Closing,1065
14 Apr 2021,Midday,1060
13 Apr 2021,Closing,1070
13 Apr 2021,Midday,1065
12 Apr 2021,Closing,1060
12 Apr 2021,Midday,1070
12 Apr 2021,Midday,1070
9 Apr 2021,Closing,1070
9 Apr 2021,Midday,1080
8 Apr 2021,Closing,1060
8 Apr 2021,Midday,1062.5
7 Apr 2021,Closing,1072.5
7 Apr 2021,Midday,1072.5
6 Apr 2021,Closing,1057.5
6 Apr 2021,Midday,1057.5
5 Apr 2021,Closing,1045
5 Apr 2021,Midday,1050
2 Apr 2021,Closing,1040
2 Apr 2021,Midday,1040
1 Apr 2021,Closing,1040
31 Mar 2021,Closing,1015
31 Mar 2021,Midday,1002.5
30 Mar 2021,Closing,1000
30 Mar 2021,Midday,1022.5
29 Mar 2021,Closing,1015
26 Mar 2021,Closing,1025
26 Mar 2021,Midday,1020
25 Mar 2021,Closing,1055
25 Mar 2021,Midday,1075
24 Mar 2021,Closing,1075
24 Mar 2021,Midday,1065
23 Mar 2021,Closing,1080
23 Mar 2021,Midday,1080
22 Mar 2021,Closing,1060
22 Mar 2021,Midday,1045
19 Mar 2021,Closing,1040
19 Mar 2021,Midday,1040
18 Mar 2021,Closing,1055
18 Mar 2021,Midday,1060
17 Mar 2021,Closing,1070
17 Mar 2021,Midday,1065
16 Mar 2021,Closing,1075
16 Mar 2021,Midday,1085
15 Mar 2021,Closing,1085
15 Mar 2021,Midday,1080
12 Mar 2021,Closing,1080
12 Mar 2021,Midday,1070
11 Mar 2021,Closing,1060
11 Mar 2021,Midday,1045
10 Mar 2021,Closing,1040
10 Mar 2021,Midday,1030
10 Mar 2021,Midday,1030
9 Mar 2021,Closing,1030
9 Mar 2021,Midday,1037.5
8 Mar 2021,Closing,1035
8 Mar 2021,Midday,1035
5 Mar 2021,Closing,1020
5 Mar 2021,Midday,1020
4 Mar 2021,Closing,1010
4 Mar 2021,Midday,1015
3 Mar 2021,Closing,1005
3 Mar 2021,Midday,995
2 Mar 2021,Closing,1005
2 Mar 2021,Midday,1007.5
1 Mar 2021,Closing,1017.5
1 Mar 2021,Midday,1037.5
26 Feb 2021,Closing,1030
26 Feb 2021,Midday,1032.5
